country,continent,latitude,longitude
Afghanistan,Asia,33.0,65.0
Aland Islands,Europe,60.116667,19.9
Albania,Europe,41.0,20.0
Algeria,Africa,28.0,3.0
American Samoa,Oceania,-14.33333333,-170.0
Andorra,Europe,42.5,1.5
Angola,Africa,-12.5,18.5
Anguilla,Americas,18.25,-63.16666666
Antarctica,Polar,-74.65,4.48
Antigua And Barbuda,Americas,17.05,-61.8
Argentina,Americas,-34.0,-64.0
Armenia,Asia,40.0,45.0
Aruba,Americas,12.5,-69.96666666
Australia,Oceania,-27.0,133.0
Austria,Europe,47.33333333,13.33333333
Azerbaijan,Asia,40.5,47.5
Bahamas The,Americas,24.25,-76.0
Bahrain,Asia,26.0,50.55
Bangladesh,Asia,24.0,90.0
Barbados,Americas,13.16666666,-59.53333333
Belarus,Europe,53.0,28.0
Belgium,Europe,50.83333333,4.0
Belize,Americas,17.25,-88.75
Benin,Africa,9.5,2.25
Bermuda,Americas,32.33333333,-64.75
Bhutan,Asia,27.5,90.5
Bolivia,Americas,-17.0,-65.0
"Bonaire, Sint Eustatius and Saba",Americas,12.15,-68.266667
Bosnia and Herzegovina,Europe,44.0,18.0
Botswana,Africa,-22.0,24.0
Brazil,Americas,-10.0,-55.0
British Indian Ocean Territory,Africa,-6.0,71.5
Brunei,Asia,4.5,114.66666666
Bulgaria,Europe,43.0,25.0
Burkina Faso,Africa,13.0,-2.0
Burundi,Africa,-3.5,30.0
Cambodia,Asia,13.0,105.0
Cameroon,Africa,6.0,12.0
Canada,Americas,60.0,-95.0
Cape Verde,Africa,16.0,-24.0
Cayman Islands,Americas,19.5,-80.5
Central African Republic,Africa,7.0,21.0
Chad,Africa,15.0,19.0
Chile,Americas,-30.0,-71.0
China,Asia,35.0,105.0
Christmas Island,Oceania,-10.5,105.66666666
Cocos (Keeling) Islands,Oceania,-12.5,96.83333333
Colombia,Americas,4.0,-72.0
Comoros,Africa,-12.16666666,44.25
Congo,Africa,-1.0,15.0
Cook Islands,Oceania,-21.23333333,-159.76666666
Costa Rica,Americas,10.0,-84.0
Cote D'Ivoire (Ivory Coast),Africa,8.0,-5.0
Croatia,Europe,45.16666666,15.5
Cuba,Americas,21.5,-80.0
Curaçao,Americas,12.116667,-68.933333
Cyprus,Europe,35.0,33.0
Czech Republic,Europe,49.75,15.5
Democratic Republic of the Congo,Africa,0.0,25.0
Denmark,Europe,56.0,10.0
Djibouti,Africa,11.5,43.0
Dominica,Americas,15.41666666,-61.33333333
Dominican Republic,Americas,19.0,-70.66666666
East Timor,Asia,-8.83333333,125.91666666
Ecuador,Americas,-2.0,-77.5
Egypt,Africa,27.0,30.0
El Salvador,Americas,13.83333333,-88.91666666
Equatorial Guinea,Africa,2.0,10.0
Eritrea,Africa,15.0,39.0
Estonia,Europe,59.0,26.0
Ethiopia,Africa,8.0,38.0
Falkland Islands,Americas,-51.75,-59.0
Faroe Islands,Europe,62.0,-7.0
Fiji Islands,Oceania,-18.0,175.0
Finland,Europe,64.0,26.0
France,Europe,46.0,2.0
French Guiana,Americas,4.0,-53.0
French Polynesia,Oceania,-15.0,-140.0
French Southern Territories,Africa,-49.25,69.167
Gabon,Africa,-1.0,11.75
Gambia The,Africa,13.46666666,-16.56666666
Georgia,Asia,42.0,43.5
Germany,Europe,51.0,9.0
Ghana,Africa,8.0,-2.0
Gibraltar,Europe,36.13333333,-5.35
Greece,Europe,39.0,22.0
Greenland,Americas,72.0,-40.0
Grenada,Americas,12.11666666,-61.66666666
Guadeloupe,Americas,16.25,-61.583333
Guam,Oceania,13.46666666,144.78333333
Guatemala,Americas,15.5,-90.25
Guernsey and Alderney,Europe,49.46666666,-2.58333333
Guinea,Africa,11.0,-10.0
Guinea-Bissau,Africa,12.0,-15.0
Guyana,Americas,5.0,-59.0
Haiti,Americas,19.0,-72.41666666
Honduras,Americas,15.0,-86.5
Hong Kong S.A.R.,Asia,22.25,114.16666666
Hungary,Europe,47.0,20.0
Iceland,Europe,65.0,-18.0
India,Asia,20.0,77.0
Indonesia,Asia,-5.0,120.0
Iran,Asia,32.0,53.0
Iraq,Asia,33.0,44.0
Ireland,Europe,53.0,-8.0
Israel,Asia,31.5,34.75
Italy,Europe,42.83333333,12.83333333
Jamaica,Americas,18.25,-77.5
Japan,Asia,36.0,138.0
Jersey,Europe,49.25,-2.16666666
Jordan,Asia,31.0,36.0
Kazakhstan,Asia,48.0,68.0
Kenya,Africa,1.0,38.0
Kiribati,Oceania,1.41666666,173.0
Kosovo,Europe,42.5612909,20.3403035
Kuwait,Asia,29.5,45.75
Kyrgyzstan,Asia,41.0,75.0
Laos,Asia,18.0,105.0
Latvia,Europe,57.0,25.0
Lebanon,Asia,33.83333333,35.83333333
Lesotho,Africa,-29.5,28.5
Liberia,Africa,6.5,-9.5
Libya,Africa,25.0,17.0
Liechtenstein,Europe,47.26666666,9.53333333
Lithuania,Europe,56.0,24.0
Luxembourg,Europe,49.75,6.16666666
Macau S.A.R.,Asia,22.16666666,113.55
Macedonia,Europe,41.83333333,22.0
Madagascar,Africa,-20.0,47.0
Malawi,Africa,-13.5,34.0
Malaysia,Asia,2.5,112.5
Maldives,Asia,3.25,73.0
Mali,Africa,17.0,-4.0
Malta,Europe,35.83333333,14.58333333
Man (Isle of),Europe,54.25,-4.5
Marshall Islands,Oceania,9.0,168.0
Martinique,Americas,14.666667,-61.0
Mauritania,Africa,20.0,-12.0
Mauritius,Africa,-20.28333333,57.55
Mayotte,Africa,-12.83333333,45.16666666
Mexico,Americas,23.0,-102.0
Micronesia,Oceania,6.91666666,158.25
Moldova,Europe,47.0,29.0
Monaco,Europe,43.73333333,7.4
Mongolia,Asia,46.0,105.0
Montenegro,Europe,42.5,19.3
Montserrat,Americas,16.75,-62.2
Morocco,Africa,32.0,-5.0
Mozambique,Africa,-18.25,35.0
Myanmar,Asia,22.0,98.0
Namibia,Africa,-22.0,17.0
Nauru,Oceania,-0.53333333,166.91666666
Nepal,Asia,28.0,84.0
Netherlands,Europe,52.5,5.75
New Caledonia,Oceania,-21.5,165.5
New Zealand,Oceania,-41.0,174.0
Nicaragua,Americas,13.0,-85.0
Niger,Africa,16.0,8.0
Nigeria,Africa,10.0,8.0
Niue,Oceania,-19.03333333,-169.86666666
Norfolk Island,Oceania,-29.03333333,167.95
North Korea,Asia,40.0,127.0
Northern Mariana Islands,Oceania,15.2,145.75
Norway,Europe,62.0,10.0
Oman,Asia,21.0,57.0
Pakistan,Asia,30.0,70.0
Palau,Oceania,7.5,134.5
Palestinian Territory Occupied,Asia,31.9,35.2
Panama,Americas,9.0,-80.0
Papua new Guinea,Oceania,-6.0,147.0
Paraguay,Americas,-23.0,-58.0
Peru,Americas,-10.0,-76.0
Philippines,Asia,13.0,122.0
Pitcairn Island,Oceania,-25.06666666,-130.1
Poland,Europe,52.0,20.0
Portugal,Europe,39.5,-8.0
Puerto Rico,Americas,18.25,-66.5
Qatar,Asia,25.5,51.25
Reunion,Africa,-21.15,55.5
Romania,Europe,46.0,25.0
Russia,Europe,60.0,100.0
Rwanda,Africa,-2.0,30.0
Saint Helena,Africa,-15.95,-5.7
Saint Kitts And Nevis,Americas,17.33333333,-62.75
Saint Lucia,Americas,13.88333333,-60.96666666
Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333
Saint Vincent And The Grenadines,Americas,13.25,-61.2
Saint-Barthelemy,Americas,18.5,-63.41666666
Saint-Martin (French part),Americas,18.08333333,-63.95
Samoa,Oceania,-13.58333333,-172.33333333
San Marino,Europe,43.76666666,12.41666666
Sao Tome and Principe,Africa,1.0,7.0
Saudi Arabia,Asia,25.0,45.0
Senegal,Africa,14.0,-14.0
Serbia,Europe,44.0,21.0
Seychelles,Africa,-4.58333333,55.66666666
Sierra Leone,Africa,8.5,-11.5
Singapore,Asia,1.36666666,103.8
Sint Maarten (Dutch part),Americas,18.033333,-63.05
Slovakia,Europe,48.66666666,19.5
Slovenia,Europe,46.11666666,14.81666666
Solomon Islands,Oceania,-8.0,159.0
Somalia,Africa,10.0,49.0
South Africa,Africa,-29.0,24.0
South Georgia,Americas,-54.5,-37.0
South Korea,Asia,37.0,127.5
South Sudan,Africa,7.0,30.0
Spain,Europe,40.0,-4.0
Sri Lanka,Asia,7.0,81.0
Sudan,Africa,15.0,30.0
Suriname,Americas,4.0,-56.0
Svalbard And Jan Mayen Islands,Europe,78.0,20.0
Swaziland,Africa,-26.5,31.5
Sweden,Europe,62.0,15.0
Switzerland,Europe,47.0,8.0
Syria,Asia,35.0,38.0
Taiwan,Asia,23.5,121.0
Tajikistan,Asia,39.0,71.0
Tanzania,Africa,-6.0,35.0
Thailand,Asia,15.0,100.0
Togo,Africa,8.0,1.16666666
Tokelau,Oceania,-9.0,-172.0
Tonga,Oceania,-20.0,-175.0
Trinidad And Tobago,Americas,11.0,-61.0
Tunisia,Africa,34.0,9.0
Turkey,Asia,39.0,35.0
Turkmenistan,Asia,40.0,60.0
Turks And Caicos Islands,Americas,21.75,-71.58333333
Tuvalu,Oceania,-8.0,178.0
Uganda,Africa,1.0,32.0
Ukraine,Europe,49.0,32.0
United Arab Emirates,Asia,24.0,54.0
United Kingdom,Europe,54.0,-2.0
United States,Americas,38.0,-97.0
United States Minor Outlying Islands,Americas,0.0,0.0
Uruguay,Americas,-33.0,-56.0
Uzbekistan,Asia,41.0,64.0
Vanuatu,Oceania,-16.0,167.0
Vatican City State (Holy See),Europe,41.9,12.45
Venezuela,Americas,8.0,-66.0
Vietnam,Asia,16.16666666,107.83333333
Virgin Islands (British),Americas,18.431383,-64.62305
Virgin Islands (US),Americas,18.34,-64.93
Wallis And Futuna Islands,Oceania,-13.3,-176.2
Western Sahara,Africa,24.5,-13.0
Yemen,Asia,15.0,48.0
Zambia,Africa,-15.0,30.0
Zimbabwe,Africa,-20.0,30.0
