year,drought,flood,earthquake,weather,temperature
1900,1261000,300,140,6000,0
1901,0,0,18,0,0
1902,0,0,9148,600,0
1903,0,250,6630,163,0
1904,0,0,152,0,0
1905,0,0,20688,240,0
1906,0,6,22653,10298,0
1907,0,0,13241,0,0
1908,0,0,75000,0,0
1909,0,72,5478,713,0
1910,16990,1379,2522,30,0
1911,16990,100000,1297,1000,0
1912,16990,0,923,51170,0
1913,16990,0,1230,732,0
1914,17040,0,4282,0,0
1915,0,0,30156,2125,0
1916,0,0,181,300,0
1917,0,0,19504,4057,0
1918,0,0,10216,34,0
1919,0,0,0,500,0
1920,524000,0,182648,224,0
1921,1200000,0,0,0,0
1922,0,0,1032,100000,0
1923,0,0,150947,3139,0
1924,0,0,1037,2242,0
1925,0,0,6140,819,0
1926,0,1000,12,3568,0
1927,0,3246,44252,5772,0
1928,3000000,36,635,4224,0
1929,0,0,3270,0,0
1930,0,0,5563,4082,0
1931,0,3700000,14286,3200,0
1932,0,0,1627,3244,0
1933,0,18053,13326,63,0
1934,0,0,120,5091,0
1935,0,142000,67412,62707,0
1936,0,200,611,3309,1693
1937,0,248,425,11231,0
1938,0,954,149,905,0
1939,0,500010,63121,3,0
1940,4006,125,1402,123,0
1941,3995,0,2856,5146,0
1942,1503995,0,3426,101000,0
1943,1903995,990,6984,5000,0
1944,4009,0,15250,726,0
1945,0,0,6943,4415,0
1946,30000,0,5226,337,0
1947,0,2000,636,4738,0
1948,0,917,116315,2971,0
1949,0,97000,9890,2804,0
1950,0,3808,1950,873,0
1951,0,5666,4739,2861,69
1952,0,199,353,2277,0
1953,0,7125,2758,1814,669
1954,0,34436,3319,2969,0
1955,0,584,489,3895,107
1956,0,3613,763,3114,0
1957,0,2471,6970,1139,0
1958,0,400,338,2620,651
1959,0,486335,69,9695,0
1960,0,968582,19931,9164,0
1961,0,562919,100,12852,400
1962,0,1180,12078,1860,50
1963,0,1031,1385,29965,162
1964,50,1123,335,10655,0
1965,502000,1401,695,59932,100
1966,508000,1923,2789,2327,262
1967,500199,2446,955,2255,0
1968,199,7306,11571,1669,153
1969,202,1544,3380,3252,0
1970,0,3246,78181,304495,0
1971,0,2404,1108,10811,400
1972,0,2548,15183,1427,110
1973,1669,1829,591,4344,283
1974,20427,29437,24829,11861,0
1975,28756,20848,4632,1041,140
1976,28782,960,277005,1763,0
1977,19655,2568,3098,15298,0
1978,19774,5897,25162,3676,150
1979,18,1038,2074,2623,470
1980,0,10466,7639,1379,1389
1981,20109,5283,3979,3790,300
1982,20988,4409,2183,2782,400
1983,182525,2321,2294,3590,205
1984,255067,2930,60,4934,290
1985,75341,4376,9852,17165,456
1986,84,1782,1181,1939,50
1987,1317,6766,5151,2900,1220
1988,1431,8504,27039,3335,644
1989,279,4716,650,4262,381
1990,42,2246,42845,4604,979
1991,2042,5850,2454,146297,757
1992,43,5236,4033,1344,466
1993,0,6150,10088,2965,106
1994,0,6771,1242,4239,341
1995,0,7894,7739,3763,1730
1996,0,8090,576,4581,300
1997,687,7588,3059,5674,604
1998,65,10759,9573,25411,3269
1999,27,34809,21869,12270,771
2000,142,5999,217,1365,934
2001,252,4975,21348,1911,1734
2002,671,4179,1639,1380,2922
2003,45,3730,29617,1051,74809
2004,80,7162,227290,6547,644
2005,114,5649,76241,5233,1269
2006,169,5868,6692,4347,5107
2007,0,8590,780,6013,1026
2008,5,4032,87918,140985,1703
2009,3,3523,1893,3287,1230
2010,10000,8300,226733,1543,57171
2011,10000,6279,20946,3124,653
2012,0,3633,711,3105,1620
2013,0,9778,1120,8598,2035
2014,0,3523,774,1432,1168
2015,35,3484,9550,1288,7425
2016,0,4438,1311,1759,490
2017,0,3349,1012,2543,359
2018,0,2881,5061,1726,597
2019,79,5074,261,2514,3125
2020,47,6397,196,1758,6633
2021,4,4137,2742,1893,1044
2022,2601,8011,1626,1583,61782
2023,247,7617,62451,14678,406
2024,0,212,313,208,35
