year,agriculture,buildings,industry,manufacturingAndConstruction,transport,electricityAndHeat
2000,5078729700.0,2807120100.0,1393640100.0,3900180000.0,5911460000.0,10608540000.0
2001,5088330000.0,2829580000.0,1418630000.0,3922860000.0,5942190000.0,10862880000.0
2002,5147520000.0,2829790000.0,1471020000.0,3917689900.0,6098110000.0,11049800000.0
2003,5143160300.0,2917630000.0,1564710000.0,4105340000.0,6226040000.0,11668700000.0
2004,5253460000.0,2959870200.0,1645950000.0,4539920000.0,6514370000.0,12057300000.0
2005,5289100300.0,2960480000.0,1742170000.0,4960259600.0,6658419700.0,12439170000.0
2006,5349680000.0,2931210000.0,1873860000.0,5205950000.0,6814430000.0,12935380000.0
2007,5427930000.0,2926969900.0,2001980000.0,5480780000.0,7026970000.0,13503460000.0
2008,5434779600.0,2991890000.0,2045870000.0,5595180000.0,7032210000.0,13527680000.0
2009,5433629700.0,2938770000.0,2092610000.0,5577400000.0,6891540000.0,13317599000.0
2010,5493460000.0,2993850000.0,2228909800.0,6123009500.0,7185970000.0,14220970000.0
2011,5625860000.0,2937590000.0,2380640000.0,6354390000.0,7304110000.0,14830370000.0
2012,5648320000.0,2879700000.0,2463490000.0,6376200000.0,7365860000.0,15129600000.0
2013,5587690000.0,2992450000.0,2576950000.0,6403110000.0,7559240000.0,15404020000.0
2014,5638520000.0,2938960000.0,2699790000.0,6469790000.0,7686720000.0,15347210000.0
2015,5662319600.0,2962230000.0,2692990000.0,6330470400.0,7927130000.0,15084469000.0
2016,5698380000.0,3000980000.0,2789840100.0,6173750000.0,8078259700.0,15094040000.0
2017,5788580000.0,3067720000.0,2858250000.0,6110200300.0,8281720000.0,15428820000.0
2018,5788680000.0,3101110000.0,2967210000.0,6248980000.0,8480910300.0,15880509000.0
2019,5783420000.0,3040909800.0,3064200000.0,6252650000.0,8480769500.0,15819970000.0
2020,5865470500.0,2980520000.0,3126930000.0,6223020000.0,7288009700.0,15181350000.0
