total,working,notWorking,outOfWorkforce,isoDate
153601,88011,7653,57937,2012-03-01
154180,89647,7363,57169,2012-06-01
154758,90320,6942,57496,2012-09-01
155330,90593,6730,58007,2012-12-01
155902,89688,7866,58348,2013-03-01
156466,90849,7393,58224,2013-06-01
157023,91438,6916,58669,2013-09-01
157565,92170,6151,59244,2013-12-01
158107,91456,7141,59509,2014-03-01
158641,92118,6861,59662,2014-06-01
159168,92407,6812,59949,2014-09-01
159679,92962,6555,60162,2014-12-01
160189,91962,8045,60182,2015-03-01
160693,92249,8498,59947,2015-06-01
161192,92201,9153,59838,2015-09-01
161679,92366,9222,60092,2015-12-01
162166,90708,11281,60176,2016-03-01
162648,90673,11716,60259,2016-06-01
163128,89821,12156,61151,2016-09-01
163603,90174,12476,60953,2016-12-01
164077,88846,14305,60926,2017-03-01
164545,90193,13598,60754,2017-06-01
165007,91268,13068,60672,2017-09-01
165459,92228,12453,60777,2017-12-01
165909,90879,13872,61158,2018-03-01
166354,91462,13148,61744,2018-06-01
166801,92930,12694,61177,2018-09-01
167246,93534,12413,61299,2018-12-01
167690,92621,13651,61417,2019-03-01
168128,94159,13011,60958,2019-06-01
168565,94737,12798,61030,2019-09-01
168997,95515,11903,61579,2019-12-01
169427,93115,13148,63164,2020-03-01
169852,84051,13228,72573,2020-06-01
170270,83439,14598,72234,2020-09-01
170678,87225,14412,69042,2020-12-01
171084,87082,15257,68746,2021-03-01
171485,89384,14832,67270,2021-06-01
171886,92976,13453,65456,2021-09-01
172283,95747,12011,64525,2021-12-01
172678,95275,11949,65454,2022-03-01
173068,98269,10080,64719,2022-06-01
173457,99269,9460,64729,2022-09-01
173844,99370,8572,65903,2022-12-01
174228,97825,9432,66972,2023-03-01
174607,98910,8647,67051,2023-06-01
174983,99838,8316,66829,2023-09-01
175352,100985,8082,66286,2023-12-01
